season,player,cricsheet_identifier,cricinfo_id,unique_name,full_name,country,born,age,batting_style,bowling_style,playing_role
2009,A Chopra,e249fdaa,27639,A Chopra,Aakash Chopra,India,"September 19, 1977, Agra, Uttar Pradesh",44y 10m 6d 0H 0M 0S,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
2009,A Chopra,57a7b064,53910,Anjum Chopra,Anjum Chopra,India,"May 20, 1977, New Delhi",45y 2m 5d 0H 0M 0S,Left hand Bat,Right arm Medium,NA
2009,A Flintoff,ddc0828d,12856,A Flintoff,Andrew Flintoff,England,"December 06, 1977, Preston, Lancashire",44y 7m 19d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Allrounder
2009,A Kumble,0c2730df,30176,A Kumble,Anil Kumble,India,"October 17, 1970, Bangalore, Karnataka",51y 9m 8d 0H 0M 0S,Right hand Bat,Legbreak Googly,Bowler
2009,A Mishra,0942d272,31730,Aditya Mishra,Aditya Mishra,U.S.A.,"June 11, 1981, New Delhi, India",41y 1m 14d 0H 0M 0S,Right hand Bat,Legbreak Googly,NA
2009,A Mishra,6b19d823,31107,A Mishra,Amit Mishra,India,"November 24, 1982, Delhi",39y 8m 1d 0H 0M 0S,Right hand Bat,Legbreak,Bowler
2009,A Mithun,66cf56a5,310958,A Mithun,Abhimanyu Mithun,India,"October 25, 1989, Bangalore",32y 9m 0d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009,A Nehra,96fd40ae,31820,A Nehra,Ashish Nehra,India,"April 29, 1979, Delhi",43y 2m 26d 0H 0M 0S,Right hand Bat,Left arm Medium fast,Bowler
2009,A Singh,5b040b81,26789,A Singh,Amit Singh,India,"June 21, 1981, Bidar, Karnataka",41y 1m 4d 0H 0M 0S,Right hand Bat,Right arm Medium fast,Bowler
2009,A Symonds,bd77eb62,7702,A Symonds,Andrew Symonds,Australia,"June 09, 1975, Birmingham, Warwickshire, England",47y 1m 16d 0H 0M 0S,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder
2009,AA Bilakhia,bff458c6,26946,AA Bilakhia,Azharuddin Anjum Bilakhia,India,"May 31, 1986, Mohwa, Bhavnagar, Gujarat",36y 1m 25d 0H 0M 0S,Right hand Bat,Right arm Medium,NA
2009,AB Agarkar,fa463154,26184,AB Agarkar,Ajit Bhalchandra Agarkar,India,"December 04, 1977, Bombay (now Mumbai), Maharashtra",44y 7m 21d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009,AB de Villiers,c4487b84,44936,AB de Villiers,Abraham Benjamin de Villiers,South Africa,"February 17, 1984, Pretoria",38y 5m 8d 0H 0M 0S,Right hand Bat,Right arm Medium,Wicketkeeper Batter
2009,AB Dinda,66b30f71,227712,AB Dinda,Ashok Bhimchandra Dinda,India,"March 25, 1984, Medinipur, Calcutta (now Kolkata)",38y 4m 0d 0H 0M 0S,Right hand Bat,Right arm Medium fast,Bowler
2009,AB McDonald,16043342,6553,AB McDonald,Andrew Barry McDonald,Australia,"June 05, 1981, Wodonga, Victoria",41y 1m 20d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Allrounder
2009,AC Gilchrist,2b6e6dec,5390,AC Gilchrist,Adam Craig Gilchrist,Australia,"November 14, 1971, Bellingen, New South Wales",50y 8m 11d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
2009,AD Mascarenhas,3edb58fc,16932,AD Mascarenhas,Adrian Dimitri Mascarenhas,England,"October 30, 1977, Chiswick, Middlesex",44y 8m 25d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Allrounder
2009,AD Mathews,896d78ad,49764,AD Mathews,Angelo Davis Mathews,Sri Lanka,"June 02, 1987, Colombo",35y 1m 23d 0H 0M 0S,Right hand Bat,Right arm Medium,Allrounder
2009,AM Nayar,a45a5e8d,32091,AM Nayar,Abhishek Mohan Nayar,India,"October 08, 1983, Secunderabad, Hyderabad",38y 9m 17d 0H 0M 0S,Left hand Bat,Right arm Medium,Allrounder
2009,AM Rahane,29e95537,277916,AM Rahane,Ajinkya Madhukar Rahane,India,"June 06, 1988, Ashwi-KD, Maharashtra",34y 1m 19d 0H 0M 0S,Right hand Bat,Right arm Medium,Top order Batter
2009,AM Salvi,260fd380,34264,AM Salvi,Aavishkar Madhav Salvi,India,"October 20, 1981, Bombay (now Mumbai), Maharashtra",40y 9m 5d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009,AN Ghosh,7023d182,220435,AN Ghosh,Arindam Nanigopal Ghosh,India,"October 19, 1986, Barasat, Kolkatta",35y 9m 6d 0H 0M 0S,Right hand Bat,Right arm Medium,Batter
2009,Anureet Singh,69be866a,376324,Anureet Singh,Kathuria Anureet Singh,India,"March 02, 1988, Delhi",34y 4m 23d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009,AS Raut,c69a7b5c,230593,AS Raut,Abhishek Santosh Raut,India,"March 03, 1987, Jaipur Road, Maharashtra",35y 4m 22d 0H 0M 0S,Right hand Bat,Legbreak Googly,Allrounder
2009,B Akhil,af7dadf7,26206,B Akhil,Balachandra Akhil,India,"October 07, 1977, Bangalore, Karnataka",44y 9m 18d 0H 0M 0S,Right hand Bat,Right arm Medium fast,Bowler
2009,B Lee,dd09ff8e,6278,B Lee,Brett Lee,Australia,"November 08, 1976, Wollongong, New South Wales",45y 8m 17d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009,BAW Mendis,ea0cdc12,268739,BAW Mendis,Balapuwaduge Ajantha Winslow Mendis,Sri Lanka,"March 11, 1985, Moratuwa",37y 4m 14d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Bowler
2009,BB McCullum,b8a55852,37737,BB McCullum,Brendon Barrie McCullum,New Zealand,"September 27, 1981, Dunedin, Otago",40y 9m 28d 0H 0M 0S,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter
2009,BJ Hodge,b57f8a9a,5674,BJ Hodge,Bradley John Hodge,Australia,"December 29, 1974, Sandringham, Victoria",47y 6m 26d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Top order Batter
2009,C Nanda,f24ca2ba,32093,C Nanda,Chetanya Nanda,India,"March 29, 1979, Delhi",43y 3m 26d 0H 0M 0S,Right hand Bat,Legbreak,NA
2009,CH Gayle,db584dad,51880,CH Gayle,Christopher Henry Gayle,West Indies,"September 21, 1979, Kingston, Jamaica",42y 10m 4d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Allrounder
2009,CK Langeveldt,d1c94b25,45963,CK Langeveldt,Charl Kenneth Langeveldt,South Africa,"December 17, 1974, Stellenbosch, Cape Province",47y 7m 8d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowler
2009,D du Preez,d7a57f75,44938,D du Preez,Dillon du Preez,South Africa,"November 08, 1981, Port Elizabeth, Cape Province",40y 8m 17d 0H 0M 0S,Right hand Bat,Right arm Fast medium,NA
2009,DA Warner,dcce6f09,219889,DA Warner,David Andrew Warner,Australia,"October 27, 1986, Paddington, New South Wales",35y 8m 28d 0H 0M 0S,Left hand Bat,Legbreak,Opening Batter
2009,DB Ravi Teja,b720a5d6,237701,DB Ravi Teja,Dwaraka Bhamidipati Ravi Teja,India,"September 05, 1987, Kakinada, Andhra Pradesh",34y 10m 20d 0H 0M 0S,Right hand Bat,Legbreak Googly,Batter
2009,DJ Bravo,87e562a9,51439,DJ Bravo,Dwayne John Bravo,West Indies,"October 07, 1983, Santa Cruz, Trinidad",38y 9m 18d 0H 0M 0S,Right hand Bat,Right arm Medium,Allrounder
2009,DJ Hussey,fd835ab3,5766,DJ Hussey,David John Hussey,Australia,"July 15, 1977, Mt Lawley, Perth, Western Australia",45y 0m 10d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Allrounder
2009,DL Vettori,d7c6af50,38710,DL Vettori,Daniel Luca Vettori,New Zealand,"January 27, 1979, Auckland",43y 5m 28d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Allrounder
2009,DP Nannes,c404f58a,6981,DP Nannes,Dirk Peter Nannes,Australia,"May 16, 1976, Mount Waverley, Melbourne, Victoria",46y 2m 9d 0H 0M 0S,Right hand Bat,Left arm Fast,Bowler
2009,DPMD Jayawardene,d18f9182,49289,DPMD Jayawardene,Denagamage Proboth Mahela de Silva Jayawardene,Sri Lanka,"May 27, 1977, Colombo",45y 1m 28d 0H 0M 0S,Right hand Bat,Right arm Medium,Batter
2009,DR Smith,a09dd2ae,20236,David Smith,David Robert Smith,England,"October 05, 1934, Fishponds, Bristol",87y 9m 20d 0H 0M 0S,Right hand Bat,Right arm Medium,NA
2009,DR Smith,35205dfc,53118,DR Smith,Dwayne Romel Smith,West Indies,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",39y 3m 13d 0H 0M 0S,Right hand Bat,Right arm Medium,Allrounder
2009,DS Kulkarni,d2a989fc,277955,DS Kulkarni,Dhawal Sunil Kulkarni,India,"December 10, 1988, Bombay (now Mumbai), Maharashtra",33y 7m 15d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009,DW Steyn,8fd1a8f5,47492,DW Steyn,Dale Willem Steyn,South Africa,"June 27, 1983, Phalaborwa",39y 0m 28d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009,FH Edwards,a7c226e1,51782,FH Edwards,Fidel Henderson Edwards,West Indies,"February 06, 1982, Gays, St Peter, Barbados",40y 5m 19d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009,G Gambhir,bb345e0b,28763,G Gambhir,Gautam Gambhir,India,"October 14, 1981, Delhi",40y 9m 11d 0H 0M 0S,Left hand Bat,Legbreak,Top order Batter
2009,GC Smith,72861603,47270,GC Smith,Graeme Craig Smith,South Africa,"February 01, 1981, Johannesburg, Transvaal",41y 5m 24d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Opening Batter
2009,GJ Bailey,5056011d,4451,GJ Bailey,George John Bailey,Australia,"September 07, 1982, Launceston, Tasmania",39y 10m 18d 0H 0M 0S,Right hand Bat,Right arm Medium,Top order Batter
2009,GR Napier,611926bc,17991,GR Napier,Graham Richard Napier,England,"January 06, 1980, Colchester, Essex",42y 6m 19d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowling Allrounder
2009,Harbhajan Singh,8b5b6769,29264,Harbhajan Singh,Harbhajan Singh,India,"July 03, 1980, Jullundur (now Jalandhar), Punjab",42y 0m 22d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Bowler
2009,Harmeet Singh,2a72fd4f,391128,Harmeet Singh,Harmeet Singh Bansal,India,"October 09, 1987, Jodhpur, Rajasthan",34y 9m 16d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009,Harmeet Singh,0bf15e52,422847,Harmeet Singh (2),Harmeet Singh,India,"September 07, 1992, Mumbai",29y 10m 18d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,NA
2009,HH Gibbs,e1d1b294,45224,HH Gibbs,Herschelle Herman Gibbs,South Africa,"February 23, 1974, Green Point, Cape Town, Cape Province",48y 5m 2d 0H 0M 0S,Right hand Bat,Right arm Bowler,Opening Batter
2009,I Sharma,5bb1a1c4,236779,I Sharma,Ishant Sharma,India,"September 02, 1988, Delhi",33y 10m 23d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Bowler
2009,IK Pathan,5fa06777,32685,IK Pathan,Irfan Khan Pathan,India,"October 27, 1984, Baroda, Gujarat",37y 8m 28d 0H 0M 0S,Left hand Bat,Left arm Medium fast,Allrounder
2009,J Botha,7c503806,44149,J Botha,Johan Botha,South Africa,"May 02, 1982, Johannesburg, Transvaal",40y 2m 23d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Allrounder
2009,JA Morkel,c3d35165,46248,JA Morkel,Johannes Albertus Morkel,South Africa,"June 10, 1981, Vereeniging, Transvaal",41y 1m 15d 0H 0M 0S,Left hand Bat,Right arm Medium fast,Bowling Allrounder
2009,Jaskaran Singh,d7b3a420,376102,Jaskaran Singh,Jaskaran Singh Buttar,India,"September 04, 1989, Mohali, Punjab",32y 10m 21d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009,JD Ryder,91ffa6c6,38373,JD Ryder,Jesse Daniel Ryder,New Zealand,"August 06, 1984, Masterton, Wellington",37y 11m 19d 0H 0M 0S,Left hand Bat,Right arm Medium,Allrounder
2009,JDP Oram,3eac9d95,38062,JDP Oram,Jacob David Philip Oram,New Zealand,"July 28, 1978, Palmerston North, Manawatu",43y 11m 27d 0H 0M 0S,Left hand Bat,Right arm Fast medium,Allrounder
2009,JH Kallis,86dc8f2e,45789,JH Kallis,Jacques Henry Kallis,South Africa,"October 16, 1975, Pinelands, Cape Town, Cape Province",46y 9m 9d 0H 0M 0S,Right hand Bat,Right arm Fast medium,Allrounder
